No.;Time;Source;Destination;Protocol;Length;Info;
114;1.210.604;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=109 Ack=171 Win=64413 Len=0;
117;1.258.311;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    67;" Unit:   1, Func:   3: Read Holding Registers"""
126;1.335.965;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=121 Ack=188 Win=64396 Len=0;
129;1.387.737;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    68;" Unit:   1, Func:   3: Read Holding Registers"""
138;1.460.569;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=133 Ack=205 Win=64379 Len=0;
141;1.517.927;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    69;" Unit:   1, Func:   3: Read Holding Registers"""
149;1.583.612;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=145 Ack=222 Win=64362 Len=0;
153;1.652.300;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    70;" Unit:   1, Func:   3: Read Holding Registers"""
162;1.724.724;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=157 Ack=239 Win=64345 Len=0;
165;1.771.764;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    71;" Unit:   1, Func:   3: Read Holding Registers"""
171;1.849.917;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=169 Ack=256 Win=64328 Len=0;
177;1.903.717;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    72;" Unit:   1, Func:   3: Read Holding Registers"""
183;1.976.560;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=181 Ack=273 Win=64311 Len=0;
189;2.029.472;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    73;" Unit:   1, Func:   3: Read Holding Registers"""
196;2.101.796;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=193 Ack=290 Win=64294 Len=0;
200;2.159.181;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    74;" Unit:   1, Func:   3: Read Holding Registers"""
207;2.227.735;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=205 Ack=307 Win=64277 Len=0;
212;2.287.386;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    75;" Unit:   1, Func:   3: Read Holding Registers"""
219;2.367.686;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=217 Ack=324 Win=64260 Len=0;
224;2.415.250;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    76;" Unit:   1, Func:   3: Read Holding Registers"""
230;2.492.003;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=229 Ack=341 Win=65535 Len=0;
236;2.559.339;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    77;" Unit:   1, Func:   3: Read Holding Registers"""
243;2.618.333;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=241 Ack=358 Win=65518 Len=0;
251;2.713.549;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    78;" Unit:   1, Func:   3: Read Holding Registers"""
256;2.791.174;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=253 Ack=375 Win=65501 Len=0;
263;2.858.142;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    79;" Unit:   1, Func:   3: Read Holding Registers"""
268;2.916.715;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=265 Ack=392 Win=65484 Len=0;
275;2.986.695;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    80;" Unit:   1, Func:   3: Read Holding Registers"""
280;3.041.781;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=277 Ack=409 Win=65467 Len=0;
286;3.100.761;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    81;" Unit:   1, Func:   3: Read Holding Registers"""
292;3.165.954;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=289 Ack=426 Win=65450 Len=0;
298;3.228.064;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    82;" Unit:   1, Func:   3: Read Holding Registers"""
304;3.306.012;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=301 Ack=443 Win=65433 Len=0;
311;3.364.536;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    83;" Unit:   1, Func:   3: Read Holding Registers"""
316;3.431.403;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=313 Ack=460 Win=65416 Len=0;
323;3.508.485;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    84;" Unit:   1, Func:   3: Read Holding Registers"""
328;3.557.074;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=325 Ack=477 Win=65399 Len=0;
334;3.614.526;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    85;" Unit:   1, Func:   3: Read Holding Registers"""
340;3.681.765;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=337 Ack=494 Win=65382 Len=0;
346;3.742.936;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    86;" Unit:   1, Func:   3: Read Holding Registers"""
352;3.822.126;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=349 Ack=511 Win=65365 Len=0;
358;3.881.485;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    87;" Unit:   1, Func:   3: Read Holding Registers"""
364;3.946.598;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=361 Ack=528 Win=65348 Len=0;
370;4.001.008;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    88;" Unit:   1, Func:   3: Read Holding Registers"""
375;4.073.011;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=373 Ack=545 Win=65331 Len=0;
382;4.129.502;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    89;" Unit:   1, Func:   3: Read Holding Registers"""
387;4.200.453;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=385 Ack=562 Win=65314 Len=0;
394;4.274.738;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    90;" Unit:   1, Func:   3: Read Holding Registers"""
399;4.323.813;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=397 Ack=579 Win=65297 Len=0;
406;4.391.077;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    91;" Unit:   1, Func:   3: Read Holding Registers"""
411;4.465.397;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=409 Ack=596 Win=65280 Len=0;
418;4.513.315;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    92;" Unit:   1, Func:   3: Read Holding Registers"""
423;4.591.672;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=421 Ack=613 Win=65263 Len=0;
430;4.660.616;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    93;" Unit:   1, Func:   3: Read Holding Registers"""
435;4.716.799;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=433 Ack=630 Win=65246 Len=0;
442;4.785.094;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    94;" Unit:   1, Func:   3: Read Holding Registers"""
447;4.842.285;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=445 Ack=647 Win=65229 Len=0;
452;4.898.236;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    95;" Unit:   1, Func:   3: Read Holding Registers"""
459;4.967.517;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=457 Ack=664 Win=65212 Len=0;
466;5.034.268;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    96;" Unit:   1, Func:   3: Read Holding Registers"""
471;5.094.828;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=469 Ack=681 Win=65195 Len=0;
478;5.180.047;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    97;" Unit:   1, Func:   3: Read Holding Registers"""
487;5.267.983;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=481 Ack=698 Win=65178 Len=0;
491;5.326.688;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    98;" Unit:   1, Func:   3: Read Holding Registers"""
496;5.391.994;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=493 Ack=715 Win=65161 Len=0;
503;5.456.980;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:    99;" Unit:   1, Func:   3: Read Holding Registers"""
510;5.531.970;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=505 Ack=732 Win=65144 Len=0;
515;5.587.135;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   100;" Unit:   1, Func:   3: Read Holding Registers"""
522;5.656.731;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=517 Ack=749 Win=65127 Len=0;
525;5.714.492;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   101;" Unit:   1, Func:   3: Read Holding Registers"""
534;5.782.830;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=529 Ack=766 Win=65110 Len=0;
537;5.840.960;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   102;" Unit:   1, Func:   3: Read Holding Registers"""
545;5.906.891;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=541 Ack=783 Win=65093 Len=0;
551;5.975.281;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   103;" Unit:   1, Func:   3: Read Holding Registers"""
558;6.048.275;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=553 Ack=800 Win=65076 Len=0;
561;6.098.213;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   104;" Unit:   1, Func:   3: Read Holding Registers"""
570;6.175.098;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=565 Ack=817 Win=65059 Len=0;
573;6.226.930;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   105;" Unit:   1, Func:   3: Read Holding Registers"""
582;6.297.941;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=577 Ack=834 Win=65042 Len=0;
586;6.360.411;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   106;" Unit:   1, Func:   3: Read Holding Registers"""
594;6.423.986;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=589 Ack=851 Win=65025 Len=0;
599;6.503.995;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   107;" Unit:   1, Func:   3: Read Holding Registers"""
606;6.561.947;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=601 Ack=868 Win=65008 Len=0;
609;6.617.124;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   108;" Unit:   1, Func:   3: Read Holding Registers"""
618;6.686.731;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=613 Ack=885 Win=64991 Len=0;
623;6.755.849;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   109;" Unit:   1, Func:   3: Read Holding Registers"""
630;6.821.538;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=625 Ack=902 Win=64974 Len=0;
635;6.875.939;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   110;" Unit:   1, Func:   3: Read Holding Registers"""
642;6.935.420;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=637 Ack=919 Win=64957 Len=0;
645;6.999.152;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   111;" Unit:   1, Func:   3: Read Holding Registers"""
654;7.075.189;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=649 Ack=936 Win=64940 Len=0;
657;7.124.677;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   112;" Unit:   1, Func:   3: Read Holding Registers"""
666;7.200.127;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=661 Ack=953 Win=64923 Len=0;
669;7.253.946;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   113;" Unit:   1, Func:   3: Read Holding Registers"""
678;7.325.738;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=673 Ack=970 Win=64906 Len=0;
681;7.385.797;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   114;" Unit:   1, Func:   3: Read Holding Registers"""
690;7.450.963;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=685 Ack=987 Win=64889 Len=0;
695;7.529.155;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   115;" Unit:   1, Func:   3: Read Holding Registers"""
702;7.589.522;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=697 Ack=1004 Win=64872 Len=0;
705;7.639.288;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   116;" Unit:   1, Func:   3: Read Holding Registers"""
714;7.715.310;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=709 Ack=1021 Win=64855 Len=0;
719;7.775.870;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   117;" Unit:   1, Func:   3: Read Holding Registers"""
726;7.841.356;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=721 Ack=1038 Win=64838 Len=0;
729;7.895.832;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   118;" Unit:   1, Func:   3: Read Holding Registers"""
738;7.967.463;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=733 Ack=1055 Win=64821 Len=0;
743;8.037.510;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   119;" Unit:   1, Func:   3: Read Holding Registers"""
748;8.092.827;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=745 Ack=1072 Win=64804 Len=0;
754;8.173.212;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   120;" Unit:   1, Func:   3: Read Holding Registers"""
759;8.232.770;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=757 Ack=1089 Win=64787 Len=0;
764;8.288.195;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   121;" Unit:   1, Func:   3: Read Holding Registers"""
770;8.357.632;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=769 Ack=1106 Win=64770 Len=0;
776;8.455.011;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   122;" Unit:   1, Func:   3: Read Holding Registers"""
785;8.527.923;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=781 Ack=1123 Win=64753 Len=0;
788;8.579.975;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   123;" Unit:   1, Func:   3: Read Holding Registers"""
797;8.653.357;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=793 Ack=1140 Win=64736 Len=0;
800;8.708.596;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   124;" Unit:   1, Func:   3: Read Holding Registers"""
809;8.777.498;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=805 Ack=1157 Win=64719 Len=0;
812;8.838.871;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   125;" Unit:   1, Func:   3: Read Holding Registers"""
821;8.917.049;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=817 Ack=1174 Win=64702 Len=0;
824;8.966.294;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   126;" Unit:   1, Func:   3: Read Holding Registers"""
831;9.042.746;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=829 Ack=1191 Win=64685 Len=0;
835;9.101.690;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   127;" Unit:   1, Func:   3: Read Holding Registers"""
842;9.168.589;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=841 Ack=1208 Win=64668 Len=0;
847;9.221.448;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   128;" Unit:   1, Func:   3: Read Holding Registers"""
854;9.293.860;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=853 Ack=1225 Win=64651 Len=0;
859;9.351.608;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   129;" Unit:   1, Func:   3: Read Holding Registers"""
864;9.419.167;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=865 Ack=1242 Win=64634 Len=0;
871;9.489.135;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   130;" Unit:   1, Func:   3: Read Holding Registers"""
876;9.557.804;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=877 Ack=1259 Win=64617 Len=0;
881;9.607.880;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   131;" Unit:   1, Func:   3: Read Holding Registers"""
887;9.682.512;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=889 Ack=1276 Win=64600 Len=0;
892;9.741.672;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   132;" Unit:   1, Func:   3: Read Holding Registers"""
900;9.809.277;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=901 Ack=1293 Win=64583 Len=0;
904;9.882.929;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   133;" Unit:   1, Func:   3: Read Holding Registers"""
911;9.932.995;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=913 Ack=1310 Win=64566 Len=0;
916;9.997.540;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   134;" Unit:   1, Func:   3: Read Holding Registers"""
922;10.058.464;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=925 Ack=1327 Win=64549 Len=0;
927;10.140.426;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   135;" Unit:   1, Func:   3: Read Holding Registers"""
935;10.199.009;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=937 Ack=1344 Win=64532 Len=0;
940;10.256.384;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   136;" Unit:   1, Func:   3: Read Holding Registers"""
946;10.323.298;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=949 Ack=1361 Win=64515 Len=0;
951;10.380.467;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   137;" Unit:   1, Func:   3: Read Holding Registers"""
958;10.446.724;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=961 Ack=1378 Win=64498 Len=0;
964;10.507.918;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   138;" Unit:   1, Func:   3: Read Holding Registers"""
971;10.587.930;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=973 Ack=1395 Win=64481 Len=0;
978;10.665.213;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   139;" Unit:   1, Func:   3: Read Holding Registers"""
984;10.746.228;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=985 Ack=1412 Win=64464 Len=0;
991;10.807.220;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   140;" Unit:   1, Func:   3: Read Holding Registers"""
996;10.872.539;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=997 Ack=1429 Win=64447 Len=0;
1003;10.949.509;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   141;" Unit:   1, Func:   3: Read Holding Registers"""
1010;11.011.976;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1009 Ack=1446 Win=64430 Len=0;
1015;11.081.059;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   142;" Unit:   1, Func:   3: Read Holding Registers"""
1022;11.138.834;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1021 Ack=1463 Win=64413 Len=0;
1027;11.193.226;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   143;" Unit:   1, Func:   3: Read Holding Registers"""
1032;11.263.665;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1033 Ack=1480 Win=64396 Len=0;
1039;11.322.121;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   144;" Unit:   1, Func:   3: Read Holding Registers"""
1044;11.389.263;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1045 Ack=1497 Win=64379 Len=0;
1051;11.467.029;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   145;" Unit:   1, Func:   3: Read Holding Registers"""
1056;11.515.317;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1057 Ack=1514 Win=64362 Len=0;
1062;11.576.911;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   146;" Unit:   1, Func:   3: Read Holding Registers"""
1070;11.656.656;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1069 Ack=1531 Win=64345 Len=0;
1075;11.706.484;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   147;" Unit:   1, Func:   3: Read Holding Registers"""
1082;11.782.110;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1081 Ack=1548 Win=64328 Len=0;
1087;11.836.377;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   148;" Unit:   1, Func:   3: Read Holding Registers"""
1092;11.906.461;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1093 Ack=1565 Win=64311 Len=0;
1099;11.982.813;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   149;" Unit:   1, Func:   3: Read Holding Registers"""
1103;12.031.092;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1105 Ack=1582 Win=64294 Len=0;
1110;12.091.605;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   150;" Unit:   1, Func:   3: Read Holding Registers"""
1115;12.158.097;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1117 Ack=1599 Win=64277 Len=0;
1123;12.222.827;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   151;" Unit:   1, Func:   3: Read Holding Registers"""
1128;12.297.351;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1129 Ack=1616 Win=64260 Len=0;
1134;12.354.069;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   152;" Unit:   1, Func:   3: Read Holding Registers"""
1140;12.420.859;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1141 Ack=1633 Win=65535 Len=0;
1147;12.492.026;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   153;" Unit:   1, Func:   3: Read Holding Registers"""
1151;12.546.554;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1153 Ack=1650 Win=65518 Len=0;
1159;12.631.475;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   154;" Unit:   1, Func:   3: Read Holding Registers"""
1169;12.719.959;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1165 Ack=1667 Win=65501 Len=0;
1172;12.776.248;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   155;" Unit:   1, Func:   3: Read Holding Registers"""
1181;12.845.129;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1177 Ack=1684 Win=65484 Len=0;
1184;12.913.617;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   156;" Unit:   1, Func:   3: Read Holding Registers"""
1191;12.971.290;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1189 Ack=1701 Win=65467 Len=0;
1196;13.032.394;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   157;" Unit:   1, Func:   3: Read Holding Registers"""
1205;13.112.473;192.168.1.100;192.168.1.101;TCP;54;51002  >  502 [ACK] Seq=1201 Ack=1718 Win=65450 Len=0;
1208;13.163.288;192.168.1.100;192.168.1.101;Modbus/TCP;66;   Query: Trans:   158;" Unit:   1, Func:   3: Read Holding Registers"""
